ID#,Activity Name,Pillar,Responsibility,Activity Type,Duration,Descriptions,Outcomes,End State,Predecessor(s),Successor(s),Related NIST Controls,Azure Commercial Remediation,Azure Government Remediation
4.4.2,"DRM Enforcement Point 
Logging and Analysis",Data,Component,Target Level ZT,12.6,"DoD Components identify business rules for managing the accepted use 
of the assets managing Data Rights Management (DRM) enforcement 
points, such as specific services and user endpoints. Using the 
established DoD Enterprise cybersecurity incident response standard, 
DoD Components ensure the appropriate detail of data is captured. 
Additionally, protection, detection, and response use cases are 
developed to better outline solution coverage.","1. Business rules for managing accepted use of data assets are 
established and coordinated with Cyber Operations to support 
standardized logging for managing DRM.
2. Standardized logging schema is enforced at the Component-
level.
3. Components identify enforcement points.","Data Rights Management rules restrict the allowed use 
of information from the access control boundary.",,"Comprehensive Data Activity 
Monitoring","SC-12, SC-13, SI-4",Enable MIP + DLP; RMS encryption; monitor exfil.,Gov equivalents.
4.4.3,File Activity Monitoring Pt1,Data,Component,Target Level ZT,16.8,"DoD Components utilize File Monitoring tools to monitor the most 
critical data classification levels in applications, services, and 
repositories. Analytics from monitoring is fed into the SIEM with basic 
data attributes to accomplish ZT Target Level functionality.","1. Data and files of critical data designation are identified and 
actively monitored.
2. Establish and manage business rules to consume critical data 
designations and manage outcomes.
3. Integration is in place with monitoring system (e.g., SIEM, XDR).","Files are associated with data assets and objects. File 
integrity monitoring occurs at the data asset and object 
levels, allowing for greater visibility and accuracy.",,File Activity Monitoring Pt2,,,
4.4.4,File Activity Monitoring Pt2,Data,Component,Target Level ZT,18.9,"DoD Components utilize File Monitoring tools to monitor all regulatory 
protected data (e.g., CUI, PII, PHI, etc.) in applications, services, and 
repositories. Extended integration is used to send data to appropriate 
inter/intra-pillar solutions such as Data Loss Prevention, Data Rights 
Management/Protection and User & Entity Behavior Analytics.","1. Data and files of all regulated designations are identified and 
actively monitored.
2. Establish and manage business rules to consume regulated 
designations and manage outcomes.","Components extend regulation to data files and 
integrations to strengthen data loss prevention, and 
prevent malicious attacks from spreading.",File Activity Monitoring Pt1,"Rule Based Dynamic Access Pt2
Database Activity Monitoring
Comprehensive Data Activity 
Monitoring",,,
4.4.5,Database Activity Monitoring,Data,,Advanced Level ZT,18.2,"DoD Components procure, implement, and utilize database monitoring 
solutions to monitor all databases containing regulated data types (e.g., 
CUI, PII, PHI, etc.). Logs and analytics from the database monitoring 
solution are provided to the SIEM for monitoring and response. 
Analytics are utilized in cross pillar activities such as ""Enterprise Security 
Profile Pt 1, Pt 2"" and ""Real Time Access Decisions"" to better direct 
decision making.","1. Appropriate database are being actively monitored. 
2. Monitoring technology is integrated with solutions such as SIEM, 
PDP and dynamic access control mechanisms.",,File Activity Monitoring Pt2,"Comprehensive Data Activity 
Monitoring",,,
4.4.6,"Comprehensive Data Activity 
Monitoring",Data,,Advanced Level ZT,27.2,"DoD Components expand monitoring of data repositories including 
databases as appropriate, based on a methodical risk-based approach. 
Additional data attributes to meet the ZT Advanced Level functionalities 
are integrated into the analytics for additional integrations.","1. Data activity monitoring mechanisms are integrated to provide a 
unified view of monitoring across data repositories. 
2.  Appropriate integrations exist.",,"DLP Enforcement Point 
Logging and Analysis; DRM 
Enforcement Point Logging 
and Analysis; Database Activity 
Monitoring","AI-enabled Dynamic Access 
Control; FF Baseline & Profiling 
Pt. 2; AI-enabled Network 
Access",,,
4.5.1,"Implement DRM and 
Protection Tools Pt1",Data,Component,Target Level ZT,11.7,"DoD Components procure and implement DRM and Protection 
solution(s) as needed, following the DoD Enterprise standard and 
requirements. Newly implement DRM and protection solution(s) are 
applied with high-risk data objects.","1. DRM and protection tools are enabled for high-risk data 
repositories with protections.","No high-risk data object bypasses the compliance 
requirement.",Interoperability Standards,"Implement DRM and 
Protection Tools Pt2","SC-12, SC-13, SI-4",Enable MIP + DLP; RMS encryption; monitor exfil.,Gov equivalents.
4.5.2,"Implement DRM and 
Protection Tools Pt2",Data,Component,Target Level ZT,22.0,"DRM and protection coverage is expanded to cover all required data 
objects. Protection mechanisms are automatically managed to meet 
best practices (e.g., FIPS). Extended data protection attributes are 
implemented based on the environment classification.","1. DRM and protection tools are enabled for all required 
repositories.",No data object bypasses the compliance requirement.,"Implement DRM and 
Protection Tools Pt1",,"SC-12, SC-13, SI-4",Enable MIP + DLP; RMS encryption; monitor exfil.,Gov equivalents.
4.5.3,"DRM Enforcement via Data 
Tags and Analytics Pt1",Data,"Enterprise and 
Component",Target Level ZT,16.2,"DoD Enterprise provides a standard for data access control and 
protections. Components establish data rights management (DRM) and 
protection solutions that are used with data tags defined by the data 
producer. High-risk data objects are identified and monitored with 
protect and response actions enabled. Data at rest is encrypted and 
protected (e.g.,  hardware/object/disk encryption, access control) in 
repositories.","1. Components DRM utilizes Attribute-Based Access Control 
standards set by Enterprise.
2. Based on data tags, data is encrypted at rest.","Protections are applied and appropriate access is 
enforced for each data object.",Manual Data Tagging Pt1,"DRM Enforcement via Data 
Tags and Analytics Pt2","SC-12, SC-13, SI-4",Enable MIP + DLP; RMS encryption; monitor exfil.,Gov equivalents.
4.5.4,"DRM Enforcement via Data 
Tags and Analytics Pt2",Data,,Advanced Level ZT,19.0,"Extended data repositories are protected with DRM and protection 
solutions. DoD Components implement extended data tags applicable to 
Components versus Enterprise. Data is encrypted in extended 
repositories using additional tags.","1. All applicable data repositories are protected using DRM.
2. Data is encrypted using extended data tags from the Component 
level.",,"DRM Enforcement via Data 
Tags and Analytics Pt1","Enrich Attributes for Resource 
Authorization Pt1; DRM 
Enforcement via Data Tags and 
Analytics Pt3","SC-12, SC-13, SI-4",Enable MIP + DLP; RMS encryption; monitor exfil.,Gov equivalents.
4.5.5,"DRM Enforcement via Data 
Tags and Analytics Pt3",Data,,Advanced Level ZT,23.3,"DRM and protection solutions integrate with AI and ML tooling for 
encryption, rights management, and protection functions.","1. Analytics from ML/AI are integrated with DRM to better 
automate protections. 
2. Encryption protection is integrated with AI/ML and updated 
encryption methods are used as needed.",,"DRM Enforcement via Data 
Tags and Analytics Pt2",,"SC-12, SC-13, SI-4",Enable MIP + DLP; RMS encryption; monitor exfil.,Gov equivalents.
4.6.1,"Implement Enforcement 
Points",Data,Component,Target Level ZT,21.2,"Data loss prevention (DLP) is aligned to and strengthened by Data 
Privacy and Protection (DPP). Then through attribution, attributes can 
be injected that address where data is coming from, its movement 
across ZT control boundaries, and the invocation of protection measures 
(e.g., encryption, obfuscation, etc.). Data loss prevention (DLP) solution 
is deployed to the in-scope enforcement points. It is recommended to 
start with “monitor-only” and/or “learning” mode limiting impact.  
Collaboration with cyber functions should occur with respect to any 
observed data loss activity.","1. A formal process is established with cybersecurity to share loss 
activity observations.
2. Identified enforcement points have DLP tool deployed.","DLP solutions are effectively deployed at all identified 
enforcement points operating in monitor mode with 
standardized logging. Policies are continuously refined 
based on DLP results to ensure robust data protection 
and risk management. Collaborative efforts are 
established to share insights and strategies, enhancing 
overall data loss prevention activities across the 
Enterprise.","Implement Data Tagging & 
Classification Tools",Process Micro segmentation,,,
4.6.2,"DLP Enforcement via Data 
Tags and Analytics Pt1",Data,"Enterprise and 
Component",Target Level ZT,21.3,"Data loss prevention (DLP) solution is updated from monitor only mode 
to prevention mode. Zero Trust tagging incorporates indicators to 
facilitate DLP through cooperative cyber enforcement.","1. Enterprise sets the minimum standards for indicators that 
support cyber enforcement.
2. Components technology is enabled for enforcement.","Support prevention of data loss through development 
of data attributes that support cyber enforcement of 
data loss.",Manual Data Tagging Pt1,"DLP Enforcement via Data Tags 
and Analytics Pt2","SC-12, SC-13, SI-4",Enable MIP + DLP; RMS encryption; monitor exfil.,Gov equivalents.
4.6.3,"DLP Enforcement via Data 
Tags and Analytics Pt2",Data,,Advanced Level ZT,19.0,"Data Loss Prevention (DLP) solution is updated to include extended data 
tags based on parallel automation activities.","1. Enforcement points have extended data tag attributes applied 
for additional prevention.",,"DLP Enforcement via Data Tags 
and Analytics Pt1","Enrich Attributes for Resource 
Authorization Pt1; DLP 
Enforcement via Data Tags and 
Analytics Pt3","SC-12, SC-13, SI-4",Enable MIP + DLP; RMS encryption; monitor exfil.,Gov equivalents.
4.6.4,"DLP Enforcement via Data 
Tags and Analytics Pt3",Data,,Advanced Level ZT,41.6,"Data Loss Prevention (DLP) solution is integrated with automated data 
tagging techniques, to include any missing enforcement points and tags.","1. Automated tagging attributes are integrated with DLP and 
resulting metrics are used for ML.",,"DLP Enforcement via Data Tags 
and Analytics Pt2",,"SC-12, SC-13, SI-4",Enable MIP + DLP; RMS encryption; monitor exfil.,Gov equivalents.
4.7.1,"Integrate DAAS Access 
w/SDS Policy Pt1",Data,"Enterprise and 
Component",Target Level ZT,15.3,"Governance mechanisms ensure that component DAAS policy is 
sufficient for Zero Trust outcomes as established by the SDS policy, if 
deemed appropriate as established in ""4.2.3 Develop Software Defined 
Storage (SDS) Policy"".","1. DAAS access policy is developed with Enterprise and Component 
support.","A centralized DAAS security approach is implemented 
across the Enterprise exercising best practices, reducing 
risk and attack surface area.","Develop Software Defined 
Storage (SDS) Policy","Integrate DAAS Access w/SDS 
Policy Pt2","AC-3, AC-16",Gate by labels + RBAC; Private Link for storage.,Same in Gov.
4.7.2,"Integrate DAAS Access 
w/SDS Policy Pt2",Data,,Advanced Level ZT,12.6,DoD Components implement the DAAS policy in an automated fashion.,"1. Attribute-based fine-grained DAAS Policy implemented in an 
automated fashion.",,"Integrate DAAS Access w/SDS 
Policy Pt1; Implement SDS 
Tool and/or Integrate w/DRM 
Tool Pt1","Integrate DAAS Access w/SDS 
Policy Pt3","AC-3, AC-16",Gate by labels + RBAC; Private Link for storage.,Same in Gov.
4.7.3,"Integrate DAAS Access 
w/SDS Policy Pt3",Data,,Advanced Level ZT,9.2,"Newly implemented SDS technology and/or functionalities are 
integrated with the DAAS policy in a risk-based fashion. A phased 
approach is taken during implementation to measure results and adjust 
accordingly.","1. SDS is integrated with DAAS policy functionality.
2. All data in all applications are protected with attribute-based fine-
grained DAAS policy.",,"Integrate DAAS Access w/SDS 
Policy Pt2",,"AC-3, AC-16",Gate by labels + RBAC; Private Link for storage.,Same in Gov.
4.7.4,"Integrate Solution(s) and 
Policy with Enterprise IDP 
Pt1",Data,Component,Target Level ZT,13.9,"DoD Components integrate attributes associated with access control 
and data location, and establishes a means for interoperability across 
DLP, DRM, and storage infrastructure solutions with Enterprise IdP.","1. Component data security solutions are integrated with IdP (e.g. 
API, LDAP, SAML).","Integrating DLP, DRM, and SDS with the IdP solution to 
ensure data protection and access is granted to only 
authenticated and authorized users.","Develop Software Defined 
Storage (SDS) Policy; 
Enterprise IDP Pt1","Integrate Solution & Policy 
w/Enterprise IDP Pt2;
Implement SDS Tool and/or 
integrate with DRM Tool Pt1","IA-2, IA-5",Require MFA; support CBA/FIDO2; enforce CA baseline.,Require MFA (Gov); CBA; CA baseline.
4.7.5,"Integrate Solution(s) and 
Policy with Enterprise IDP 
Pt2",Data,,Advanced Level ZT,9.2,"Newly implemented SDS technology and/or functionalities are 
integrated with the Enterprise Identity Provider (IdP) following the 
integration plan. Identity attributes required to meet ZT Target Level 
functionalities are required for integration.","1. Complete integration with Enterprise IdP and SDS tooling to 
support all attribute-based fine-grained DAAS access.",,"Integrate Solution & Policy 
w/Enterprise IDP Pt1",,"IA-2, IA-5",Require MFA; support CBA/FIDO2; enforce CA baseline.,Require MFA (Gov); CBA; CA baseline.
4.7.6,"Implement SDS Tool and/or 
integrate with DRM Tool Pt1",Data,,Advanced Level ZT,17.4,"Depending on the need for a Software Defined Storage (SDS) tool, a new 
solution is implemented, or an existing solution is identified, meeting 
the functionality requirements to be integrated with DLP, DRM, and ML 
solutions.","1. If tooling is needed, ensure there is supported integrations with 
DLP, DRM and ML tooling.",,"Develop Software Defined 
Storage (SDS) Policy; Integrate 
Solution & Policy w/Enterprise 
IDP Pt1","Integrate DAAS Access w/SDS 
Policy Pt2; Implement SDS Tool 
and/or Integrate w/DRM Tool 
Pt2","SC-12, SC-13, SI-4",Enable MIP + DLP; RMS encryption; monitor exfil.,Gov equivalents.
4.7.7,"Implement SDS Tool and/or 
integrate with DRM Tool Pt2",Data,,Advanced Level ZT,15.3,"DoD Components configure the SDS functionality and/or solution to be 
integrated with the underlying DLP and DRM infrastructure as 
appropriate. Lower-level integrations enable more effective protection 
and response.","1. Integrate SDS infrastructure with existing DLP and DRM 
infrastructure.",,"Implement SDS Tool and/or 
Integrate w/DRM Tool Pt1",,"SC-12, SC-13, SI-4",Enable MIP + DLP; RMS encryption; monitor exfil.,Gov equivalents.
5.1.1,"Define Granular Control 
Access Rules & Policies Pt1","Network and 
Environment","Enterprise and 
Component",Target Level ZT,10.3,"The DoD Enterprise working with the Components creates granular 
network access rules and policies. Associated Concept of Operations 
(ConOps) are developed in alignment with access policies as well ensure 
future supportability. Once agreed upon, DoD Components will 
implement these access policies into existing network technologies (e.g., 
Next Generation Firewalls, Intrusion Prevention Systems, etc.) to 
improve initial risk levels and ensure future interoperability.","1. Enterprise provides standardized policy for deployment. 
2. Identify Communities of Interest.
3. Components implement access policies according to Enterprise 
standards and CONOPS.","Provide access control over multiple identities, 
applications, devices, and traffic levels, reducing the risk 
of unauthorized accessing and increasing visibility on 
monitoring for threat response.",,"Define SDN APIs; Define 
Granular Control Access Rules 
& Policies Pt2",,,
5.1.2,"Define Granular Control 
Access Rules & Policies Pt2","Network and 
Environment",Component,Target Level ZT,8.0,"DoD Components utilize data tagging and classification standards to 
develop data filters for API access to the SDN or alternative networking 
approach. API Decision Points are formalized within the SDN or 
alternative network architecture and implemented with non-
mission/task critical applications and services.","1. Define data tagging filters for API infrastructure to support 
interoperability.
2. Enforce authentication for all APIs at the API layer.","Security is enforced at an API level to strengthen 
authorization and authentication, promote enabling 
encryption protocols, and support monitoring of 
malicious behavior at an API level to improve incident 
response.","Define Granular Control 
Access Rules & Policies Pt1",,,,
5.2.1,Define SDN APIs,"Network and 
Environment","Enterprise and 
Component",Target Level ZT,8.3,"The DoD Enterprise works with Components to define the necessary 
APIs and other programmatic interfaces that enable Software Defined 
Networking (SDN) or alternative networking approach functionalities. 
These APIs will enable authentication decision point, application delivery 
control proxy and ssegmentation gateways automation.","1. SDN or alternative networking approach APIs are developed 
using machine readable patterns and protocols and implemented 
(per ""Standardized API Calls & Schemas Pt1 and Pt2"").","SDN or alternative networking approach APIs are 
standardized and implemented, enabling robust 
automation of authentication decision points, 
application delivery control proxies, and segmentation 
gateways. This standardization ensures consistent and 
secure SDN or alternative networking approache 
operations across the Enterprise, enhancing network 
flexibility, scalability, and security.","Define Granular Control 
Access Rules & Policies Pt1","Implement SDN Programable 
Infrastructure","SC-7, AC-4",Centralize via Azure Firewall/Policy; APIM for control.,Same in Gov.
5.2.2,"Implement SDN 
Programable  Infrastructure","Network and 
Environment",Component,Target Level ZT,32.0,"Following the API standards, requirements, and SDN API functionalities, 
DoD Components will implement SoftwareDefined Networking (SDN) or 
alternative networking approach infrastructure to enable automation 
tasks. Segmentation gateways and authentication decision points are 
integrated into the SDN or alternative networking approach 
infrastructure along with output logging into a standardized repository 
(e.g., SIEM, Log Analytics) for monitoring and alerting.","1. Components implement application delivery control proxy.
2. Components integrate authentication decision points.
3. Components implement segmentation gateways.","The SDN or alternative networking approach 
infrastructure is fully implemented across Components, 
with segmentation gateways and authentication 
decision points integrated and operational. 
Comprehensive logging and monitoring are established 
through SIEM and log analytics, ensuring continuous 
oversight and rapid response capabilities. The 
automation of these process enhances network 
security, efficiency, and compliance with ZT principles.","Define SDN APIs; Standardized 
API Calls & Schemas Pt1",,"SC-7, AC-4",Centralize via Azure Firewall/Policy; APIM for control.,Same in Gov.
5.2.3,"Segment Flows into Control, 
Management, and Data 
Planes","Network and 
Environment","Enterprise and 
Component",Target Level ZT,13.0,"Network infrastructure and flows are segmented either physically or 
logically into separate and distinct control, management, and data 
planes. Segmentation using IPv6/VLAN approaches is implemented to 
better organize traffic across data planes. Analytics and NetFlow from 
the updated infrastructure is automatically fed into Operations Centers 
and analytics tools.","1. Enterprise provides guidance/policy on segmentation. 
2. IPv6/VLAN segmentation is implemented.
3. Enable automated NetOps information reporting.
4. Ensure configuration control across enterprise.
5. Integrated with SIEM/SOAR.","Enterprise provides policy and/or guidance on 
segmentation. Components further segment network 
traffic limiting the scope of attack, isolating incidents, 
and preventing malicious attempts from lateral 
movement across the network.",,"B/C/P/S Macro segmentation; 
Application & Device Micro 
segmentation",,,
5.2.4,"Network Asset Discovery & 
Optimization","Network and 
Environment",,Advanced Level ZT,30.2,"DoD Components automate network asset discovery through the SDN 
infrastructure, limiting access to devices based on risk-based methodical 
approaches. Optimization is conducted based on the SDN analytics to 
improve overall performance along with providing approved access to 
resources.","1. Technical Refreshment/Technology Evolution.  
2. Provide Optimization/Performance Controls.",,,,,,
5.2.5,Real-Time Access Decisions,"Network and 
Environment",,Advanced Level ZT,15.6,"SDN infrastructure utilizes cross pillar data sources such as User Activity 
Monitoring (UAM), Entity Activity Monitoring (EAM), Enterprise security 
profiles, and more, for real-time access decisions. Machine Learning 
(ML) is used to assist decision making based on advanced network 
analytics (i.e., full packet capture, etc.). Policies are consistently 
implemented across the Enterprise using unified access standards.","1. Analyze SIEM logs with analytics engine to provide real-time 
policy access decisions.
2. Support sending captured packets, data and network flows, and 
other specific logs for analytics. 
3. Segment end-to-end transport network flows; audit security 
policies for consistency across Enterprise. 
4. Protect data-in-transit during Coalition Information Sharing.",,"Continuous Authentication 
Pt2; User Activity Monitoring 
Pt2; Implement 
C2C/Compliance Based 
Network Authorization Pt2; 
Entity Activity Monitoring Pt2; 
AI-enabled Network Access; 
Enterprise Security Profile Pt2",,,,
5.3.1,"Datacenter Macro 
segmentation","Network and 
Environment",Component,Target Level ZT,17.6,"DoD Components implement service-based architectures to restrict 
lateral movement between public and private components of a 
solutions architecture. Proxy and/or enforcement checks are integrated 
with the SDN or alternative networking approach solution(s) based on 
device attributes and behavior.","1. Establish proxy/enforcement checks of attributes (device, 
location, data), access and flow (client, tenant, traffic patterns), and 
Component principles (asset life cycle, compliance, policy).","SDN or alternative networking approach solutions 
incorporate proxy and enforcement checks based on 
device attributes and behavior, ensuring robust security. 
Application delivery control proxies, SIEM logging, UAM, 
and authentication decision points are integrated and 
operational. Segmentation gateways are deployed to 
enhance network security and efficiency.",,"Implement Micro 
segmentation; Resource 
Authorization Pt1;
SDC Resource Authorization 
Pt1",,,
5.3.2,"B/C/P/S Macro 
segmentation","Network and 
Environment",Component,Target Level ZT,18.1,"DoD Components implement mission/organization-based macro-
segmentation using logical network zones that limit lateral movement. 
Proxy and/or enforcement checks are integrated with the SDN or 
alternative networking approach solution(s) based on device attributes 
and behavior.","1. Establish proxy/enforcement checks of attributes (device, 
location, data), access and flow (client, tenant, traffic patterns), and 
Component principles (asset life cycle, compliance, policy).
2. Analyze activities of application specific security stacks for 
firewall configuration and access policies.","SDN or alternative networking approach  solutions 
incorporate proxy and enforcement checks based on 
device attributes and behavior, ensuring robust security. 
Application delivery control proxies, SIEM logging, UAM, 
and authentication decision points are integrated and 
operational. Segmentation gateways are deployed to 
enhance network security and efficiency.","Segment Flows into Control, 
Management, and Data Planes",,,,
5.4.1,"Implement Micro 
segmentation","Network and 
Environment",Component,Target Level ZT,17.3,"DoD Components implement micro-segmentation infrastructure into 
SDN or alternative networking approach environment, enabling basic 
segmentation of service components (e.g., web, app, DB), ports, and 
protocols. Basic automation is accepted for policy changes, including API 
decision making. Virtual hosting environments implement micro-
segmentation at the host/container-level.","1. Accept automated policy changes.
2. Implement API decision points.
3. Implement distributed NGF/micro-FW/endpoint agent in virtual 
hosting environment.","Automated policy changes and API decision-making 
processes are established, enhancing the agility and 
security of the infrastructure. Virtual hosting 
environments employ micro-segmentation at the 
host/container level providing robust security controls 
and improving overall management efficiency. the 
infrastructure includes integrated application delivery 
control proxies, SIEM logging, UAM, authentication 
decision points, and segmentation gateways, ensuring 
comprehensive security and monitoring capabilities.","Datacenter Macro 
segmentation","Application & Device Micro 
segmentation",,,
5.4.2,"Application & Device Micro 
segmentation","Network and 
Environment",Component,Target Level ZT,17.9,"DoD Components utilize Software Defined Networking (SDN) or 
alternative networking approach solution(s) to establish infrastructure 
meeting the ZT Target Level functionalities - i.e., logical network zones; 
Role, Attribute, and Condition-Based Access Control for Users and 
Devices, Privileged Access Management (PAM) services for network 
resources, and policy-based control on API access.","1. Assign Role, Attribute, and Condition-Based Access Control to 
Users & Devices.
2. Provide PAM services.
3. Limit Access on a Per-Identity basis for users and devices.
4. Create logical network zones.
5. Support policy control via REST API.","SDN or alternative networking approach infrastructure 
is established across DoD Components, providing robust 
Role, Attribute, and Condition-Based Access Control for 
PEs and NPEs. PAM services are in place for network 
resources. Logical network zones are created, and policy-
based controls are enforced on API access via REST APIs. 
This ensures secure and controlled access management, 
enhancing the overall security posture.","Segment Flows into Control, 
Management, and Data 
Planes; Implement Micro 
segmentation","Enrich Attributes for Resource 
Authorization Pt1",,,
5.4.3,Process Micro segmentation,"Network and 
Environment",,Advanced Level ZT,20.3,"DoD Components utilize existing micro-segmentation and SDN 
automation infrastructure enabling process micro-segmentation. Host-
level processes are segmented based on security policies and access is 
granted using real-time access decision making.","1. Segment host-level processes for security policies. 
2. Support real-time access decisions and policy changes. 
3. Support offload of logs for analytics and automation. 
4. Support dynamic deployment of segmentation policy.",,"Implement Enforcement 
Points",,SC-7,NSG/ASG/Private Endpoints; host controls.,Same in Gov.
5.4.4,Protect Data In Transit,"Network and 
Environment","Enterprise and 
Component",Target Level ZT,9.1,"Based on the data flow mappings and monitoring standards provided by 
DoD Enterprise, policies are enabled by DoD Components to mandate 
protection of data in transit. Common use cases, such as Coalition 
Information Sharing, sharing across system boundaries and protection 
across architectural components, are included in protection policies.","1. Enterprise guidance is provided on protecting Data In Transit.
2. Protect data in transit during Coalition Information Sharing.
3. Protect data in transit across system high boundaries.
4.Integrate data in transit protection across architecture 
components.","Policies are effectively implemented to protect data in 
transit during coalition information sharing across 
system high boundaries, and within various 
architectural components. Data in transit is securely 
encrypted and monitored ensuring ZT.",,,,,
6.1.1,"Policy Inventory & 
Development","Automation and 
Orchestration","Enterprise and 
Component",Target Level ZT,9.8,"The DoD Enterprise works with Components to catalog and inventory 
existing cybersecurity policies and standards. Policies are updated and 
created in cross-pillar activities as needed to meet critical ZT Target 
Level functionality.","1. Component policies have been collected in reference to 
applicable compliance and risk (e.g., RMF, NIST).
2. Policies have been reviewed for missing Pillars and Capabilities by 
Enterprise per the ZTRA.
3. Enterprise and Components make updates to missing areas of 
policies to meet the capabilities per the ZTRA.","Policies are aligned to support interoperability and 
enable ZT functionality.",,"Continuous Authorization to 
Operate (cATO) Pt1",,,
6.1.2,Organization Access Profile,"Automation and 
Orchestration","Enterprise and 
Component",Target Level ZT,19.4,"DoD Components develop access profile rules for mission/task and non-
mission/task DAAS access using the data from the User, Data, Network 
& Environment, and Device pillars.  The DoD Enterprise works with the 
Components to develop an Enterprise security profile rules using the 
existing Component security profiles to create a common access 
approach to DAAS. A phased approach can be used by Components to 
limit risk to mission/task critical DAAS access once the security profile(s) 
are created.","1. Component scoped profile rules are created to determine access 
to DAAS using capabilities from User, Data, Network & 
Environment, and Device pillars.
2. Initial Enterprise profile rules for access standard is developed 
for access to DAAS.
3. When possible, Component profile(s) utilize Enterprise available 
services in the User, Data, Network & Environment, and Device 
pillars.
4. Component mission/task critical profile rules are created.","The patterns of behavior are established for what 
outcomes are needed for access control at the 
Component level.",,Enterprise Security Profile Pt1,,,
6.1.3,"Enterprise Security Profile  
Pt1","Automation and 
Orchestration","Enterprise and 
Component",Target Level ZT,16.0,"Enterprise security profile rules covers the User, Data, Network & 
Environment, and Device pillars initially. Existing Component security 
profile rules are integrated for non-mission/task DAAS access following 
an iterative approach to tuning access.","1. Enterprise profile rules are created to access DAAS using 
capabilities from User, Data, Network & Environment, and Device 
pillars.
2. Component profile rules are integrated with the Enterprise 
profile rules using a standardized approach.
3. Service catalog and/or CMDB exists with ZT components; at a 
minimum PDP(s), PEP(s), and PIP(s) details inventoried.","The patterns of behavior are established for necessary 
outcomes of access control at the Enterprise level.",Organization Access Profile,Enterprise Security Profile Pt2,,,
6.1.4,"Enterprise Security Profile 
Pt2","Automation and 
Orchestration",,Advanced Level ZT,12.5,"The minimum number of Enterprise security profile(s) exist that grant 
access to the widest range of DAAS within the DoD Compontents. 
Mission/task Component profiles are integrated with the Enterprise 
security profile(s) and exceptions are managed in a risk-based 
methodical approach.","1. Enterprise security profile(s) have been reduced and simplified to 
support widest array of access to DAAS.  
2. Mission/Task Critical profile(s) have been integrated and 
supported Component profiles are considered the exception.",,Enterprise Security Profile Pt1,"Real-Time Access Decisions; AI-
enabled Dynamic Access 
Control",,,
6.2.1,Task Automation Analysis,"Automation and 
Orchestration",Component,Target Level ZT,6.3,"DoD Components identify and enumerate all task activities that can be 
executed both manually and in an automated fashion. Task activities are 
organized into automated and manual categories. Manual activities are 
analyzed for retirement.","1. Automatable tasks are identified.
2. Tasks are enumerated.
3. Components create process flow of all cybersecurity defense 
automations tasks developed with an independent audit process 
before operational implementation.","Components optimize mission-critical processes with 
automation, reducing the time and resources spent, 
increasing accuracy (limiting human error) when 
validated, and supporting incident response.",,,"IR-4, SI-4",Logic Apps/Automation for enrichment/response.,Same in Gov.
6.2.2,"Enterprise Integration & 
Workflow Provisioning Pt1","Automation and 
Orchestration","Enterprise and 
Component",Target Level ZT,23.4,"The DoD Enterprise establishes baseline integration and interoperability 
within the Security Orchestration, Automation, and Response (SOAR) 
solution required to enable ZTA Target Level functionality, where 
actionable and relevant information resides. DoD Components identify 
instrument, integration, and interoperability points and prioritization 
per the Enterprise baseline. The necessary integrations in User, Device, 
Application & Workload, Network & Environment, and Device pillars to 
automate IR functions are completed.","1. DoD Enterprise establishes baseline  integration and 
interoperability with SOAR to enable ZT Target Level functionality. 
  
2. Components identify key integrations.
3. Components implement Enterprise integration and 
interoperability for critical services.
4. Components identify recovery and protection requirements.","Critical integrations occur to meet key services and 
enable recovery and protection capabilities.",,"Enterprise Integration & 
Workflow Provisioning Pt2","IR-4, SI-4",Logic Apps/Automation for enrichment/response.,Same in Gov.
6.2.3,"Enterprise Integration & 
Workflow Provisioning Pt2","Automation and 
Orchestration",,Advanced Level ZT,12.7,"DoD Components integrate remaining services to meet baseline 
requirements and ZT Advanced Level functionality requirements. Service 
provisioning is integrated and automated into workflows, where 
required, meeting ZT Target Level functionalities.","1. Services identified. 
2. Service provisioning is implemented.",,"Enterprise Integration & 
Workflow Provisioning Pt1",Automated Workflow,"IR-4, SI-4",Logic Apps/Automation for enrichment/response.,Same in Gov.
6.3.1,"Implement Data Tagging & 
Classification ML Tools","Automation and 
Orchestration",Component,Target Level ZT,16.0,"DoD Components utilize existing Data Tagging and Classification 
standards and requirements to integrate Machine Learning (ML) 
solution(s)/capability as needed. ML solution(s) is implemented by 
Components, and existing tagged and classified data repositories are 
used to establish baselines. ML solution(s) applies data tags in a 
supervised approach to continually improve analysis.","1. Components implement ML capabilities with data tagging and 
classification.","Machine learning solution is acquired, trained, and 
implemented in accordance with DoD established Data 
Tagging and Classification tools. Machines are trained 
on a high-quality subset of data developed under 
activity 4.3.1 with human oversight and assessment.",Define Data Tagging Standards,"Automated Data Tagging & 
Support Pt2","MP-3, AC-16",Use MIP labels and auto-labeling in Purview.,Same in Gov.
6.4.1,"Implement AI automation 
tools","Automation and 
Orchestration",,Advanced Level ZT,25.7,"DoD Components identify areas of improvement based on existing 
Machine Learning (ML) techniques for Artificial Intelligence (AI). AI 
solutions are identified, procured, and implemented using the identified 
areas as requirements.","1. Develop AI tool requirements. 
2. Procure and implement AI tools.",,,Automated Workflow,"IR-4, SI-4",Logic Apps/Automation for enrichment/response.,Same in Gov.
